e_code,injury_desc_long,injury_desc_short
828.2,Accident involving animal being ridden injuring rider of animal,Ridden animal acc-rider
828.4,Accident involving animal being ridden injuring occupant of streetcar,Ridden animal acc-st car
828.8,Accident involving animal being ridden injuring other specified person,Ridden anim acc-pers NEC
828.9,Accident involving animal being ridden injuring unspecified person,Ridden anim acc-pers NOS
829,Other road vehicle accidents injuring pedestrian,Oth road veh acc-pedest
829.4,Other road vehicle accidents injuring occupant of streetcar,Oth rd veh acc-st car
829.8,Other road vehicle accidents injuring other specified person,Oth rd veh acc-pers NEC
829.9,Other road vehicle accidents injuring unspecified person,Oth rd veh acc-pers NOS
830,"Accident to watercraft causing submersion injuring occupant of small boat, unpowered",Boat acc w submers-unpow
830.1,"Accident to watercraft causing submersion injuring occupant of small boat, powered",Boat acc w submers-power
830.2,Accident to watercraft causing submersion injuring occupant of other watercraft -- crew,Boat acc w submers-crew
830.3,Accident to watercraft causing submersion injuring occupant of other watercraft -- other than crew,Boat acc w submers-psgr
830.4,Accident to watercraft causing submersion injuring water skier,Boat submers-water skier
830.5,Accident to watercraft causing submersion injuring swimmer,Boat submers-swimmer
830.6,"Accident to watercraft causing submersion injuring dockers, stevedores",Boat submers-dockers
830.7,"Accident to watercraft causing submersion, occupant of military watercraft, any type",Boat submers-military
830.8,Accident to watercraft causing submersion injuring other specified person,Boat submers-pers NEC
830.9,Accident to watercraft causing submersion injuring unspecified person,Boat submers-pers NOS
831,"Accident to watercraft causing other injury to occupant of small boat, unpowered",Boat acc inj NEC-unpower
831.1,"Accident to watercraft causing other injury to occupant of small boat, powered",Boat acc inj NEC-power
831.2,Accident to watercraft causing other injury to occupant of other watercraft -- crew,Boat acc inj NEC-crew
831.3,Accident to watercraft causing other injury to occupant of other watercraft -- other than crew,Boat acc inj NEC-passeng
831.4,Accident to watercraft causing other injury to water skier,Boat acc inj NEC-skier
831.5,Accident to watercraft causing other injury to swimmer,Boat acc inj NEC-swim
831.6,"Accident to watercraft causing other injury to dockers, stevedores",Boat acc inj NEC-docker
831.7,"Accident to watercraft causing other injury, occupant of military watercraft, any type",Boat acc inj NEC-militry
831.8,Accident to watercraft causing other injury to other specified person,Boat inj NEC-person NEC
831.9,Accident to watercraft causing other injury to unspecified person,Boat inj NEC-person NOS
832,"Other accidental submersion or drowning in water transport accident injuring occupant of small boat, unpowered",Submers NEC-unpow boat
832.1,"Other accidental submersion or drowning in water transport accident injuring occupant of small boat, powered",Submers NEC-power boat
832.2,Other accidental submersion or drowning in water transport accident injuring occupant of other watercraft -- crew,Submers NEC-crew
832.3,Other accidental submersion or drowning in water transport accident injuring occupant of other watercraft -- other than crew,Submers NEC-passenger
832.4,Other accidental submersion or drowning in water transport accident injuring water skier,Submers NEC-water skier
832.5,Other accidental submersion or drowning in water transport accident injuring swimmer,Submers NEC-swimmer
832.6,"Other accidental submersion or drowning in water transport accident injuring dockers, stevedores",Submers NEC-docker
832.7,"Other accidental submersion or drowning in water transport accident, occupant of military watercraft, any type",Submersion NEC-military
832.8,Other accidental submersion or drowning in water transport accident injuring other specified person,Submers NEC-person NEC
832.9,Other accidental submersion or drowning in water transport accident injuring unspecified person,Submers NEC-person NOS
833,"Fall on stairs or ladders in water transport injuring occupant of small boat, unpowered",W/craft stair fall-unpow
833.1,"Fall on stairs or ladders in water transport injuring occupant of small boat, powered",W/craft stair fall-power
833.2,Fall on stairs or ladders in water transport injuring occupant of other watercraft -- crew,Wtrcraft stair fall-crew
833.3,Fall on stairs or ladders in water transport injuring occupant of other watercraft -- other than crew,Wtrcraft stair fall-psgr
833.4,Fall on stairs or ladders in water transport injuring water skier,W/craft stair fall-skier
833.5,Fall on stairs or ladders in water transport injuring swimmer,W/craft stair fall-swim
833.6,"Fall on stairs or ladders in water transport injuring dockers, stevedores",W/crf stair fall-docker
833.7,"Fall on stairs or ladders in water transport, occupant of military watercraft, any type",W/crf stair fall-militry
833.8,Fall on stairs or ladders in water transport injuring other specified person,W/crf stair fall-per NEC
833.9,Fall on stairs or ladders in water transport injuring unspecified person,W/crf stair fall-per NOS
834,"Other fall from one level to another in water transport injuring occupant of small boat, unpowered",W/craft fall NEC-unpow
834.1,"Other fall from one level to another in water transport injuring occupant of small boat, powered",W/craft fall NEC-power
834.2,Other fall from one level to another in water transport injuring occupant of other watercraft -- crew,Watercraft fall NEC-crew
834.3,Other fall from one level to another in water transport injuring occupant of other watercraft -- other than crew,Wtrcraft fall NEC-pasngr
834.4,Other fall from one level to another in water transport injuring water skier,W/craft fall NEC-skier
834.5,Other fall from one level to another in water transport injuring swimmer,W/craft fall NEC-swim
834.6,"Other fall from one level to another in water transport injuring dockers, stevedores",Wtrcraft fall NEC-docker
834.7,"Other fall from one level to another in water transport, occupant of military watercraft, any type",W/crft fall NEC-military
834.8,Other fall from one level to another in water transport injuring other specified person,W/crft fall NEC-pers NEC
834.9,Other fall from one level to another in water transport injuring unspecified person,W/crft fall NEC-pers NOS
835,"Other and unspecified fall in water transport injuring occupant of small boat, unpowered",W/craft fall NOS-unpow
835.1,"Other and unspecified fall in water transport injuring occupant of small boat, powered",W/craft fall NOS-power
835.2,Other and unspecified fall in water transport injuring occupant of other watercraft -- crew,Wtrcraft fall NOS-crew
835.3,Other and unspecified fall in water transport injuring occupant of other watercraft -- other than crew,Wtrcraft fall NOS-pasngr
835.4,Other and unspecified fall in water transport injuring water skier,W/craft fall NOS-skier
835.5,Other and unspecified fall in water transport injuring swimmer,W/craft fall NOS-swim
835.6,"Other and unspecified fall in water transport injuring dockers, stevedores",Wtrcraft fall NOS-docker
835.7,"Other and unspecified fall in water transport, occupant of military watercraft, any type",W/crft fall NEC/NOS-mil
835.8,Other and unspecified fall in water transport injuring other specified person,W/crft fall NOS-pers NEC
835.9,Other and unspecified fall in water transport injuring unspecified person,W/crft fall NOS-pers NOS
836,"Machinery accident in water transport injuring occupant of small boat, unpowered",Machine acc-unpow boat
836.1,"Machinery accident in water transport injuring occupant of small boat, powered",Mach acc-occ power boat
836.2,Machinery accident in water transport injuring occupant of other watercraft -- crew,Machinery accident-crew
836.3,Machinery accident in water transport injuring occupant of other watercraft -- other than crew,Machinery acc-pasngr
836.4,Machinery accident in water transport injuring water skier,Machine accident-skier
836.5,Machinery accident in water transport injuring swimmer,Machine accident-swim
836.6,"Machinery accident in water transport injuring dockers, stevedores",Machinery acc-docker
836.7,"Machinery accident in water transport, occupant of military watercraft, any type",W/crft machine-military
836.8,Machinery accident in water transport injuring other specified person,Machinery acc-pers NEC
836.9,Machinery accident in water transport injuring unspecified person,Machinery acc-pers NOS
837,"Explosion, fire, or burning in watercraft injuring occupant of small boat, unpowered",Explosion-occ unpow boat
837.1,"Explosion, fire, or burning in watercraft injuring occupant of small boat, powered",Explosion-occ power boat
837.2,"Explosion, fire, or burning in watercraft injuring occupant of other watercraft -- crew",Watercraft explos-crew
837.3,"Explosion, fire, or burning in watercraft injuring occupant of other watercraft -- other than crew",Watercraft explos-pasngr
837.4,"Explosion, fire, or burning in watercraft injuring water skier",Watercraft explos-skier
837.5,"Explosion, fire, or burning in watercraft injuring swimmer",Watercraft explos-swim
837.6,"Explosion, fire, or burning in watercraft injuring dockers, stevedores",Watercraft explos-docker
837.7,"Explosion, fire, or burning in watercraft, occupant of military watercraft, any type",W/crft explosn-military
837.8,"Explosion, fire, or burning in watercraft injuring other specified person",Watercraft expl-pers NEC
837.9,"Explosion, fire, or burning in watercraft injuring unspecified person",Watercraft expl-pers NOS
838,"Other and unspecified water transport accident injuring occupant of small boat, unpowered",Watercraft acc NEC-unpow
838.1,"Other and unspecified water transport accident injuring occupant of small boat, powered",Watercraft acc NEC-power
838.2,Other and unspecified water transport accident injuring occupant of other watercraft -- crew,Watercraft acc NEC-crew
838.3,Other and unspecified water transport accident injuring occupant of other watercraft -- other than crew,Watercrft acc NEC-pasngr
838.4,Other and unspecified water transport accident injuring water skier,Watercraft acc NEC-skier
838.5,Other and unspecified water transport accident injuring swimmer,Watrcrft acc NEC-swimmer
838.6,"Other and unspecified water transport accident injuring dockers, stevedores",Watercrft acc NEC-docker
838.7,"Other and unspecified water transport accident, occupant of military watercraft, any type",W/crft-military NEC/NOS
838.8,Other and unspecified water transport accident injuring other specified person,Wtrcrft acc NEC-pers NEC
838.9,Other and unspecified water transport accident injuring unspecified person,Wtrcrft acc NEC-pers NOS
840,Accident to powered aircraft at takeoff or landing injuring occupant of spacecraft,Tk off/land-spcrft
840.1,"Accident to powered aircraft at takeoff or landing injuring occupant of military aircraft, any",Tk off/land-milit craft
840.2,Accident to powered aircraft at takeoff or landing injuring crew of commercial aircraft (powered) in surface to surface transport,Tk off/land-crew aircrft
840.3,Accident to powered aircraft at takeoff or landing injuring other occupant of commercial aircraft (powered) in surface to surface transport,Tk off/land-psng aircrft
840.4,Accident to powered aircraft at takeoff or landing injuring occupant of commercial aircraft (powered) in surface to air transport,Tk off/land-comm crf NEC
840.5,Accident to powered aircraft at takeoff or landing injuring occupant of other powered aircraft,Tk off/land-aircraft NEC
840.6,"Accident to powered aircraft at takeoff or landing injuring occupant of unpowered aircraft, except parachutist",Tk off/land-unp aircrft
840.7,Accident to powered aircraft at takeoff or landing injuring parachutist (military) (other),Tk off/land-parachutist
840.8,"Accident to powered aircraft at takeoff or landing injuring ground crew, airline employee",Tk off/land-ground crew
840.9,Accident to powered aircraft at takeoff or landing injuring other person,Tk off/land-pers NEC
841,"Accident to powered aircraft, other and unspecified, injuring occupant of spacecraft",Pow aircraft acc-spcrft
841.1,"Accident to powered aircraft, other and unspecified, injuring occupant of military aircraft, any",Power aircraft acc-milit
841.2,"Accident to powered aircraft, other and unspecified, injuring crew of commercial aircraft (powered) in surface to surface transport",Power aircraft acc-crew
841.3,"Accident to powered aircraft, other and unspecified, injuring other occupant of commercial aircraft (powered) in surface to surface transport",Power aircraft acc-psngr
841.4,"Accident to powered aircraft, other and unspecified, injuring occupant of commercial aircraft (powered) in surface to air transport",Aircraf acc-occ comm NEC
841.5,"Accident to powered aircraft, other and unspecified, injuring occupant of other powered aircraft",Oth powered aircraft acc
841.6,"Accident to powered aircraft, other and unspecified, injuring occupant of unpowered aircraft, except parachutist",Pow airc acc-unp aircr
841.7,"Accident to powered aircraft, other and unspecified, injuring parachutist (military) (other)",Aircraft acc-parachutist
841.8,"Accident to powered aircraft, other and unspecified, injuring ground crew, airline employee",Aircraft acc-ground crew
841.9,"Accident to powered aircraft, other and unspecified, injuring other person",Aircrft acc NOS-pers NEC
842.6,"Accident to unpowered aircraft injuring occupant of unpowered aircraft, except parachutist",Unpower aircraft acc-occ
842.7,Accident to unpowered aircraft injuring parachutist (military) (other),Unpow aircrf acc-chutist
842.8,"Accident to unpowered aircraft injuring ground crew, airline employee",Unpow aircrf acc-gr crew
842.9,Accident to unpowered aircraft injuring other person,Unpow aircrf acc-per NEC
843,"Fall in, on, or from aircraft injuring occupant of spacecraft",Fall-occ spacecraft
843.1,"Fall in, on, or from aircraft injuring occupant of military aircraft, any",Fall-milit aircraft occp
843.2,"Fall in, on, or from aircraft injuring crew of commercial aircraft (powered) in surface to surface transport",Fall-crew comm aircraft
843.3,"Fall in, on, or from aircraft injuring other occupant of commercial aircraft (powered) in surface to surface transport",Fall-psng comm aircraft
843.4,"Fall in, on, or from aircraft injuring occupant of commercial aircraft (powered) in surface to air transport",Fall-occ comm aircrf NEC
843.5,"Fall in, on, or from aircraft injuring occupant of other powered aircraft",Fall-occup oth aircraft
843.6,"Fall in, on, or from aircraft injuring occupant of unpowered aircraft, except parachutist",Fall-occ unpower aircraf
843.7,"Fall in, on, or from aircraft injuring parachutist (military) (other)",Fall-parachutist
843.8,"Fall in, on, or from aircraft injuring ground crew, airline employee",Aircrft fall-ground crew
843.9,"Fall in, on, or from aircraft injuring other person",Aircraft fall-person NEC
844,Other specified air transport accidents injuring occupant of spacecraft,Aircrft acc NEC-spcrft
844.1,"Other specified air transport accidents injuring occupant of military aircraft, any",Aircrft acc NEC-military
844.2,Other specified air transport accidents injuring crew of commercial aircraft (powered) in surface to surface transport,Aircrft acc NEC-crew
844.3,Other specified air transport accidents injuring other occupant of commercial aircraft (powered) in surface to surface transport,Aircrft acc NEC-pasngr
844.4,Other specified air transport accidents injuring occupant of commercial aircraft (powered) in surface to air transport,Aircrft acc NEC-comm NEC
844.5,Other specified air transport accidents injuring occupant of other powered aircraft,Aircrft acc NEC-occp NEC
844.6,"Other specified air transport accidents injuring occupant of unpowered aircraft, except parachutist",Aircr acc NEC-unp aircr
844.7,Other specified air transport accidents injuring parachutist (military) (other),Aircrft acc-parachutist
844.8,"Other specified air transport accidents injuring ground crew, airline employee",Aircrft acc NEC-grd crew
844.9,Other specified air transport accidents injuring other person,Aircrft acc NEC-pers NEC
845,Accident involving spacecraft injuring occupant of spacecraft,Spacecraft acc-occupant
845.8,"Accident involving spacecraft injuring ground crew, airline employee",Spacecraft acc-grnd crew
845.9,Accident involving spacecraft injuring other person,Spacecraft acc-pers NEC
846,Accidents involving powered vehicles used solely within the buildings and premises of industrial or commercial establishment,Indus veh acc on premise
847,Accidents involving cable cars not running on rails,Cabl car acc not on rail
848,"Accidents involving other vehicles, not elsewhere classifiable",Oth vehicle acc NEC
849,Home accidents,Accident in home
849.1,Farm accidents,Accident on farm
849.2,Mine and quarry accidents,Accident in mine/quarry
849.3,Accidents occurring in industrial places and premises,Acc on industr premises
849.4,Accidents occurring in place for recreation and sport,Accid in recreation area
849.5,Street and highway accidents,Accid on street/highway
849.6,Accidents occurring in public building,Accident in public bldg
849.7,Accidents occurring in residential institution,Accid in resident instit
849.8,Accidents occurring in other specified places,Accident in place NEC
849.9,Accidents occurring in unspecified place,Accident in place NOS
850,Accidental poisoning by heroin,Acc poison-heroin
850.1,Accidental poisoning by methadone,Acc poison-methadone
850.2,Accidental poisoning by other opiates and related narcotics,Acc poison-opiates NEC
850.3,Accidental poisoning by salicylates,Acc poison-salicylates
850.4,"Accidental poisoning by aromatic analgesics, not elsewhere classified",Acc poison-arom analgesc
850.5,Accidental poisoning by pyrazole derivatives,Acc poison-pyrazole derv
850.6,Accidental poisoning by antirheumatics (antiphlogistics),Acc poison-antirheumatic
850.7,Accidental poisoning by other non-narcotic analgesics,Acc poison-nonnarc analg
850.8,Accidental poisoning by other specified analgesics and antipyretics,Acc poison-analgesic NEC
850.9,Accidental poisoning by unspecified analgesic or antipyretic,Acc poison-analgesic NOS
851,Accidental poisoning by barbiturates,Acc poison-barbiturates
852,Accidental poisoning by chloral hydrate group,Acc poisn-chlorl hydrate
852.1,Accidental poisoning by paraldehyde,Acc poison-paraldehyde
852.2,Accidental poisoning by bromine compounds,Acc poison-bromine cmpnd
852.3,Accidental poisoning by methaqualone compounds,Acc poison-methaqualone
852.4,Accidental poisoning by glutethimide group,Acc poison-glutethimide
852.5,"Accidental poisoning by mixed sedatives, not elsewhere classified",Acc poison-mix sedtv NEC
852.8,Accidental poisoning by other specified sedatives and hypnotics,Acc poison-sedatives NEC
852.9,Accidental poisoning by unspecified sedative or hypnotic,Acc poison-sedatives NOS
853,Accidental poisoning by phenothiazine-based tranquilizers,Acc pois-phenthiaz tranq
853.1,Accidental poisoning by butyrophenone-based tranquilizers,Acc pois-butyrphen tranq
853.2,Accidental poisoning by benzodiazepine-based tranquilizers,Acc poisn-benzdiaz tranq
853.8,Accidental poisoning by other specified tranquilizers,Acc poisn-tranquilzr NEC
853.9,Accidental poisoning by unspecified tranquilizer,Acc poisn-tranquilzr NOS
854,Accidental poisoning by antidepressants,Acc poison-antidepressnt
854.1,Accidental poisoning by psychodysleptics [hallucinogens],Acc poison-hallucinogens
854.2,Accidental poisoning by psychostimulants,Acc poisn-psychstimulant
854.3,Accidental poisoning by central nervous system stimulants,Acc poison-cns stimulant
854.8,Accidental poisoning by other psychotropic agents,Acc poisn psychotrop NEC
855,Accidental poisoning by anticonvulsant and anti-parkinsonism drugs,Acc poisn-anticonvulsant
855.1,Accidental poisoning by other central nervous system depressants,Acc poisn-cns depres NEC
855.2,Accidental poisoning by local anesthetics,Acc poisn-local anesthet
855.3,Accidental poisoning by parasympathomimetics [cholinergics],Acc poison-cholinergics
855.4,Accidental poisoning by parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,Acc poisn-anticholinerg
855.5,Accidental poisoning by sympathomimetics [adrenergics],Acc poison-adrenergics
855.6,Accidental poisoning by sympatholytics [antiadrenergics],Acc poisn-sympatholytics
855.8,Accidental poisoning by other specified drugs acting on central and autonomic nervous systems,Acc poison-cns drug NEC
855.9,Accidental poisoning by unspecified drug acting on central and autonomic nervous systems,Acc poison-cns drug NOS
856,Accidental poisoning by antibiotics,Acc poison-antibiotics
857,Accidental poisoning by other anti-infectives,Acc pois-oth anti-infect
858,Accidental poisoning by hormones and synthetic substitutes,Acc poison-hormones
858.1,Accidental poisoning by primarily systemic agents,Acc poisn-systemic agent
858.2,Accidental poisoning by agents primarily affecting blood constituents,Acc poison-blood agent
858.3,Accidental poisoning by agents primarily affecting cardiovascular system,Acc poisn-cardiovasc agt
858.4,Accidental poisoning by agents primarily affecting gastrointestinal system,Acc poison-gi agent
858.5,"Accidental poisoning by water, mineral, and uric acid metabolism drugs",Acc poisn-metabol agnt
858.6,Accidental poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system,Acc poisn-muscl/resp agt
858.7,"Accidental poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs",Acc poisn-skin/eent agnt
858.8,Accidental poisoning by other specified drugs,Acc poisoning-drug NEC
858.9,Accidental poisoning by unspecified drug,Acc poisoning-drug NOS
860,Accidental poisoning by alcoholic beverages,Acc poisn-alcohol bevrag
860.1,Accidental poisoning by other and unspecified ethyl alcohol and its products,Acc poison-ethyl alcohol
860.2,Accidental poisoning by methyl alcohol,Acc poisn-methyl alcohol
860.3,Accidental poisoning by isopropyl alcohol,Acc poisn-isopropyl alc
860.4,Accidental poisoning by fusel oil,Acc poison-fusel oil
860.8,Accidental poisoning by other specified alcohols,Acc poison-alcohol NEC
860.9,Accidental poisoning by unspecified alcohol,Acc poison-alcohol NOS
861,Accidental poisoning by synthetic detergents and shampoos,Acc pois-synth detergent
861.1,Accidental poisoning by soap products,Acc poison-soap products
861.2,Accidental poisoning by polishes,Acc poison-polishes
861.3,Accidental poisoning by other cleansing and polishing agents,Acc poison-cleanser NEC
861.4,Accidental poisoning by disinfectants,Acc poison-disinfectants
861.5,Accidental poisoning by lead paints,Acc poison-lead paints
861.6,Accidental poisoning by other paints and varnishes,Acc poison-paints NEC
861.9,"Accidental poisoning by unspecified cleansing and polishing agents, disinfectants, paints, and varnishes",Acc poison-cleanser NOS
862,Accidental poisoning by petroleum solvents,Acc poisn-petrol solvent
862.1,Accidental poisoning by petroleum fuels and cleaners,Acc poisn-petroleum fuel
862.2,Accidental poisoning by lubricating oils,Acc pois-lubricating oil
862.3,Accidental poisoning by petroleum solids,Acc pois-petroleum solid
862.4,"Accidental poisoning by other specified solvents, not elsewhere classified",Acc poisn-solvents NEC
862.9,"Accidental poisoning by unspecified solvent, not elsewhere classified",Acc poisn-solvent NOS
863,Accidental poisoning by insecticides of organochlorine compounds,Acc pois-chlorine pestic
863.1,Accidental poisoning by insecticides of organophosphorus compounds,Acc pois-phosph pesticid
863.2,Accidental poisoning by carbamates,Acc poison-carbamates
863.3,Accidental poisoning by mixtures of insecticides,Acc poisn-mixed pesticid
863.4,Accidental poisoning by other and unspecified insecticides,Acc poison-pesticide NEC
863.5,Accidental poisoning by herbicides,Acc poison-herbicides
863.6,Accidental poisoning by fungicides,Acc poison-fungicides
863.7,Accidental poisoning by rodenticides,Acc poison-rodenticides
863.8,Accidental poisoning by fumigants,Acc poison-fumigants
863.9,Accidental poisoning by other and unspecified agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,Acc pois-agrcult NEC/NOS
864,Accidental poisoning by corrosive aromatics not elsewhere classified,Acc pois-corrosiv aromat
864.1,Accidental poisoning by acids not elsewhere classified,Acc poison-acids
864.2,Accidental poisoning by caustic alkalis not elsewhere classified,Acc poisn-caustic alkali
864.3,Accidental poisoning by other specified corrosives and caustics not elsewhere classified,Acc poison-caustic NEC
864.4,Accidental poisoning by unspecified corrosives and caustics not elsewhere classified,Acc poison-caustic NOS
865,Accidental poisoning by meat,Acc poison-meat
865.1,Accidental poisoning by shellfish,Acc poison-shellfish
865.2,Accidental poisoning from other fish,Acc poison-fish NEC
865.3,Accidental poisoning from berries and seeds,Acc poison-berries/seeds
865.4,Accidental poisoning from other specified plants,Acc poison-plants NEC
865.5,Accidental poisoning from mushrooms and other fungi,Acc poison-mushrooms
865.8,Accidental poisoning from other specified foods,Acc poison-food NEC
865.9,Accidental poisoning from unspecified foodstuff or poisonous plant,Acc poisn-food/plant NOS
866,Accidental poisoning by lead and its compounds and fumes,Acc poisoning-lead
866.1,Accidental poisoning by mercury and its compounds and fumes,Acc poisoning-mercury
866.2,Accidental poisoning by antimony and its compounds and fumes,Acc poisoning-antimony
866.3,Accidental poisoning by arsenic and its compounds and fumes,Acc poisoning-arsenic
866.4,Accidental poisoning by other metals and their compounds and fumes,Acc poison-metals NEC
866.5,Accidental poisoning by plant foods and fertilizers,Acc poison-plant food
866.6,Accidental poisoning by glues and adhesives,Acc poison-glues
866.7,Accidental poisoning by cosmetics,Acc poison-cosmetics
866.8,Accidental poisoning by other specified solid or liquid substances,Acc pois-solid/liq NEC
866.9,Accidental poisoning by unspecified solid or liquid substance,Acc pois-solid/liq NOS
867,Accidental poisoning by gas distributed by pipeline,Acc poison-piped gas
868,Accidental poisoning by liquefied petroleum gas distributed in mobile containers,Acc pois-liq petrol gas
868.1,Accidental poisoning by other and unspecified utility gas,Acc pois-utl gas NEC/NOS
868.2,Accidental poisoning by motor vehicle exhaust gas,Acc poison-exhaust gas
868.3,Accidental poisoning by carbon monoxide from incomplete combustion of other domestic fuels,Acc pois-co/domestc fuel
868.8,Accidental poisoning by carbon monoxide from other sources,Acc pois-carbn monox NEC
868.9,Accidental poisoning by unspecified carbon monoxide,Acc pois-carbn monox NOS
869,Accidental poisoning by nitrogen oxides,Acc poisn-nitrogen oxide
869.1,Accidental poisoning by sulfur dioxide,Acc poisn-sulfur dioxide
869.2,Accidental poisoning by freon,Acc poison-freon
869.3,Accidental poisoning by lacrimogenic gas [tear gas],Acc poison-tear gas
869.4,Second hand tobacco smoke,Scndhnd tbcco smoke
869.8,Accidental poisoning by other specified gases and vapors,Acc poison-gas/vapor NEC
869.9,Accidental poisoning by unspecified gases and vapors,Acc poison-gas/vapor NOS
870,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",Acc cut/hem in surgery
870.1,"Accidental cut, puncture, perforation or hemorrhage during infusion or transfusion",Acc cut/hem in infusion
870.2,"Accidental cut, puncture, perforation or hemorrhage during kidney dialysis or other perfusion",Acc cut/hem-perfusn NEC
870.3,"Accidental cut, puncture, perforation or hemorrhage during injection or vaccination",Acc cut/hem in injection
870.4,"Accidental cut, puncture, perforation or hemorrhage during endoscopic examination",Acc cut/hem w scope exam
870.5,"Accidental cut, puncture, perforation or hemorrhage during aspiration of fluid or tissue, puncture, and catheterization",Acc cut/hem w catheteriz
870.6,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization",Acc cut/hem w heart cath
870.7,"Accidental cut, puncture, perforation or hemorrhage during administration of enema",Acc cut/hem w enema
870.8,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care",Acc cut in med care NEC
870.9,"Accidental cut, puncture, perforation or hemorrhage during unspecified medical care",Acc cut in med care NOS
871,Foreign object left in body during surgical operation,Post-surgical forgn body
871.1,Foreign object left in body during infusion or transfusion,Postinfusion foreign bdy
871.2,Foreign object left in body during kidney dialysis or other perfusion,Postperfusion forgn body
871.3,Foreign object left in body during injection or vaccination,Postinjection forgn body
871.4,Foreign object left in body during endoscopic examination,Postendoscopy forgn body
871.5,"Foreign object left in body during aspiration of fluid or tissue, puncture, and catheterization",Postcatheter forgn body
871.6,Foreign object left in body during heart catheterization,FB post heart catheter
871.7,Foreign object left in body during removal of catheter or packing,FB post-catheter removal
871.8,Foreign object left in body during other specified procedures,Post-op foreign body NEC
871.9,Foreign object left in body during unspecified procedure,Post-op foreign body NOS
872,Failure of sterile precautions during surgical operation,Failure sterile surgery
872.1,Failure of sterile precautions during infusion or transfusion,Failure sterile infusion
872.2,Failure of sterile precautions during kidney dialysis and other perfusion,Fail sterile perfusn NEC
872.3,Failure of sterile precautions during injection or vaccination,Fail sterile injection
872.4,Failure of sterile precautions during endoscopic examination,Fail sterile endoscopy
872.5,"Failure of sterile precautions during aspiration of fluid or tissue, puncture, and catheterization",Fail sterile catheter
872.6,Failure of sterile precautions during heart catheterization,Fail sterile heart cath
872.8,Failure of sterile precautions during other specified procedures,Fail sterile proced NEC
872.9,Failure of sterile precautions during unspecified procedure,Fail sterile proced NOS
873,Excessive amount of blood or other fluid during transfusion or infusion,Excess fluid in infusion
873.1,Incorrect dilution of fluid during infusion,Incor dilut infusn fluid
873.2,Overdose of radiation in therapy,Therap radiation overdos
873.3,Inadvertent exposure of patient to radiation during medical care,Inadv radiat exp-medical
873.4,Failure in dosage in electroshock or insulin-shock therapy,Dosag fail-shock therapy
873.5,Inappropriate [too hot or too cold] temperature in local application and packing,Wrng temp in applic/pack
873.6,Nonadministration of necessary drug or medicinal substance,Nonadmin necess medicine
873.8,Other specified failure in dosage,Failure in dosage NEC
873.9,Unspecified failure in dosage,Failure in dosage NOS
874,Mechanical failure of instrument or apparatus during surgical operation,Instrmnt fail in surgery
874.1,Mechanical failure of instrument or apparatus during infusion and transfusion,Instrumnt fail-infusion
874.2,Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion,Instrmnt fail-perfus NEC
874.3,Mechanical failure of instrument or apparatus during endoscopic examination,Instrumnt fail-endoscopy
874.4,"Mechanical failure of instrument or apparatus during aspiration of fluid or tissue, puncture, and catheterization",Instrmnt fail-catheteriz
874.5,Mechanical failure of instrument or apparatus during heart catheterization,Instrmnt fail-heart cath
874.8,Mechanical failure of instrument or apparatus during other specified procedures,Instrmnt fail-proced NEC
874.9,Mechanical failure of instrument or apparatus during unspecified procedure,Instrmnt fail-proced NOS
875,Contaminated substance transfused or infused,Contaminated transfusion
875.1,Contaminated substance injected or used for vaccination,Contaminated injection
875.2,Contaminated drug or biological substance administered by other means,Contaminated drug NEC
875.8,Misadventure to patient from other contamination,Contamination NEC
875.9,Misadventure to patient from unspecified contamination,Contamination NOS
876,Mismatched blood in transfusion,Mismatch blood-transfusn
876.1,Wrong fluid in infusion,Wrong fluid in infusion
876.2,Failure in suture and ligature during surgical operation,Failure in suture
876.3,Endotracheal tube wrongly placed during anesthetic procedure,Misplaced endotrach tube
876.4,Failure to introduce or to remove other tube or instrument,Fail introd/remove tube
876.5,Performance of wrong operation (procedure) on correct patient,Perfrm wrong op/right pt
876.6,Performance of operation (procedure) on patient not scheduled for surgery,Proc-pt not sched surg
876.7,Performance of correct operation (procedure) on wrong side/body part,Rt proc-wrong side/part
876.8,Other specified misadventures during medical care,Medical misadventure NEC
876.9,Unspecified misadventure during medical care,Medical misadventure NOS
878,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Abn react-org transplant
878.1,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",Abn react-artif implant
878.2,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Abn react-anastom/graft
878.3,"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Abn react-external stoma
