E_CODE,DIAGNOSIS CODE,LONG DESC,SHORT DESC
825.1,8251,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger in motor vehicle other than motorcycle,Mv n-traff NEC/NOS-psgr
825.2,8252,Other motor vehicle nontraffic accident of other and unspecified nature injuring motorcyclist,Mv n-traf acc NEC-mocycl
825.3,8253,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger on motorcycle,Mv n-traff NEC-mcyc psgr
825.4,8254,Other motor vehicle nontraffic accident of other and unspecified nature injuring occupant of streetcar,Mv n-traff NEC-st car
825.5,8255,Other motor vehicle nontraffic accident of other and unspecified nature injuring rider of animal; occupant of animal-drawn vehicle,Mv n-traf NEC-anim rider
825.6,8256,Other motor vehicle nontraffic accident of other and unspecified nature injuring pedal cyclist,Mv n-traff NEC-ped cycl
825.7,8257,Other motor vehicle nontraffic accident of other and unspecified nature injuring pedestrian,Mv n-traff NEC-pedest
825.8,8258,Other motor vehicle nontraffic accident of other and unspecified nature injuring other specified person,Mv n-traff NEC-pers NEC
825.9,8259,Other motor vehicle nontraffic accident of other and unspecified nature injuring unspecified person,Mv n-traff NEC-pers NOS
826.0,8260,Pedal cycle accident injuring pedestrian,Pedal cycle acc-pedest
826.1,8261,Pedal cycle accident injuring pedal cyclist,Ped cycl acc-ped cyclist
826.2,8262,Pedal cycle accident injuring rider of animal,Ped cycle acc-anim rider
826.3,8263,Pedal cycle accident injuring occupant of animal-drawn vehicle,Ped cyc acc-occ anim veh
826.4,8264,Pedal cycle accident injuring occupant of streetcar,Ped cycle acc-occ st car
826.8,8268,Pedal cycle accident injuring other specified person,Ped cycle acc-pers NEC
826.9,8269,Pedal cycle accident injuring unspecified person,Ped cycle acc-pers NOS
827.0,8270,Animal-drawn vehicle accident injuring pedestrian,Animal drawn veh-pedest
827.2,8272,Animal-drawn vehicle accident injuring rider of animal,Anim drawn veh-anim rid
827.3,8273,Animal-drawn vehicle accident injuring occupant of animal drawn vehicle,Animal drawn veh-occupan
827.4,8274,Animal-drawn vehicle accident injuring occupant of streetcar,Anim drawn-occ st car
827.8,8278,Animal-drawn vehicle accident injuring other specified person,Anim drawn veh-pers NEC
827.9,8279,Animal-drawn vehicle accident injuring unspecified person,Anim drawn veh-pers NOS
828.0,8280,Accident involving animal being ridden injuring pedestrian,Ridden animal acc-pedest
828.2,8282,Accident involving animal being ridden injuring rider of animal,Ridden animal acc-rider
828.4,8284,Accident involving animal being ridden injuring occupant of streetcar,Ridden animal acc-st car
828.8,8288,Accident involving animal being ridden injuring other specified person,Ridden anim acc-pers NEC
828.9,8289,Accident involving animal being ridden injuring unspecified person,Ridden anim acc-pers NOS
829.0,8290,Other road vehicle accidents injuring pedestrian,Oth road veh acc-pedest
829.4,8294,Other road vehicle accidents injuring occupant of streetcar,Oth rd veh acc-st car
829.8,8298,Other road vehicle accidents injuring other specified person,Oth rd veh acc-pers NEC
829.9,8299,Other road vehicle accidents injuring unspecified person,Oth rd veh acc-pers NOS
830.0,8300,"Accident to watercraft causing submersion injuring occupant of small boat, unpowered",Boat acc w submers-unpow
830.1,8301,"Accident to watercraft causing submersion injuring occupant of small boat, powered",Boat acc w submers-power
830.2,8302,Accident to watercraft causing submersion injuring occupant of other watercraft -- crew,Boat acc w submers-crew
830.3,8303,Accident to watercraft causing submersion injuring occupant of other watercraft -- other than crew,Boat acc w submers-psgr
830.4,8304,Accident to watercraft causing submersion injuring water skier,Boat submers-water skier
830.5,8305,Accident to watercraft causing submersion injuring swimmer,Boat submers-swimmer
830.6,8306,"Accident to watercraft causing submersion injuring dockers, stevedores",Boat submers-dockers
830.7,8307,"Accident to watercraft causing submersion, occupant of military watercraft, any type",Boat submers-military
830.8,8308,Accident to watercraft causing submersion injuring other specified person,Boat submers-pers NEC
830.9,8309,Accident to watercraft causing submersion injuring unspecified person,Boat submers-pers NOS
831.0,8310,"Accident to watercraft causing other injury to occupant of small boat, unpowered",Boat acc inj NEC-unpower
831.1,8311,"Accident to watercraft causing other injury to occupant of small boat, powered",Boat acc inj NEC-power
831.2,8312,Accident to watercraft causing other injury to occupant of other watercraft -- crew,Boat acc inj NEC-crew
831.3,8313,Accident to watercraft causing other injury to occupant of other watercraft -- other than crew,Boat acc inj NEC-passeng
831.4,8314,Accident to watercraft causing other injury to water skier,Boat acc inj NEC-skier
831.5,8315,Accident to watercraft causing other injury to swimmer,Boat acc inj NEC-swim
831.6,8316,"Accident to watercraft causing other injury to dockers, stevedores",Boat acc inj NEC-docker
831.7,8317,"Accident to watercraft causing other injury, occupant of military watercraft, any type",Boat acc inj NEC-militry
831.8,8318,Accident to watercraft causing other injury to other specified person,Boat inj NEC-person NEC
831.9,8319,Accident to watercraft causing other injury to unspecified person,Boat inj NEC-person NOS
832.0,8320,"Other accidental submersion or drowning in water transport accident injuring occupant of small boat, unpowered",Submers NEC-unpow boat
832.1,8321,"Other accidental submersion or drowning in water transport accident injuring occupant of small boat, powered",Submers NEC-power boat
832.2,8322,Other accidental submersion or drowning in water transport accident injuring occupant of other watercraft -- crew,Submers NEC-crew
832.3,8323,Other accidental submersion or drowning in water transport accident injuring occupant of other watercraft -- other than crew,Submers NEC-passenger
832.4,8324,Other accidental submersion or drowning in water transport accident injuring water skier,Submers NEC-water skier
832.5,8325,Other accidental submersion or drowning in water transport accident injuring swimmer,Submers NEC-swimmer
832.6,8326,"Other accidental submersion or drowning in water transport accident injuring dockers, stevedores",Submers NEC-docker
832.7,8327,"Other accidental submersion or drowning in water transport accident, occupant of military watercraft, any type",Submersion NEC-military
832.8,8328,Other accidental submersion or drowning in water transport accident injuring other specified person,Submers NEC-person NEC
832.9,8329,Other accidental submersion or drowning in water transport accident injuring unspecified person,Submers NEC-person NOS
833.0,8330,"Fall on stairs or ladders in water transport injuring occupant of small boat, unpowered",W/craft stair fall-unpow
833.1,8331,"Fall on stairs or ladders in water transport injuring occupant of small boat, powered",W/craft stair fall-power
833.2,8332,Fall on stairs or ladders in water transport injuring occupant of other watercraft -- crew,Wtrcraft stair fall-crew
833.3,8333,Fall on stairs or ladders in water transport injuring occupant of other watercraft -- other than crew,Wtrcraft stair fall-psgr
833.4,8334,Fall on stairs or ladders in water transport injuring water skier,W/craft stair fall-skier
833.5,8335,Fall on stairs or ladders in water transport injuring swimmer,W/craft stair fall-swim
833.6,8336,"Fall on stairs or ladders in water transport injuring dockers, stevedores",W/crf stair fall-docker
833.7,8337,"Fall on stairs or ladders in water transport, occupant of military watercraft, any type",W/crf stair fall-militry
833.8,8338,Fall on stairs or ladders in water transport injuring other specified person,W/crf stair fall-per NEC
833.9,8339,Fall on stairs or ladders in water transport injuring unspecified person,W/crf stair fall-per NOS
834.0,8340,"Other fall from one level to another in water transport injuring occupant of small boat, unpowered",W/craft fall NEC-unpow
834.1,8341,"Other fall from one level to another in water transport injuring occupant of small boat, powered",W/craft fall NEC-power
834.2,8342,Other fall from one level to another in water transport injuring occupant of other watercraft -- crew,Watercraft fall NEC-crew
834.3,8343,Other fall from one level to another in water transport injuring occupant of other watercraft -- other than crew,Wtrcraft fall NEC-pasngr
834.4,8344,Other fall from one level to another in water transport injuring water skier,W/craft fall NEC-skier
834.5,8345,Other fall from one level to another in water transport injuring swimmer,W/craft fall NEC-swim
834.6,8346,"Other fall from one level to another in water transport injuring dockers, stevedores",Wtrcraft fall NEC-docker
834.7,8347,"Other fall from one level to another in water transport, occupant of military watercraft, any type",W/crft fall NEC-military
834.8,8348,Other fall from one level to another in water transport injuring other specified person,W/crft fall NEC-pers NEC
834.9,8349,Other fall from one level to another in water transport injuring unspecified person,W/crft fall NEC-pers NOS
835.0,8350,"Other and unspecified fall in water transport injuring occupant of small boat, unpowered",W/craft fall NOS-unpow
835.1,8351,"Other and unspecified fall in water transport injuring occupant of small boat, powered",W/craft fall NOS-power
835.2,8352,Other and unspecified fall in water transport injuring occupant of other watercraft -- crew,Wtrcraft fall NOS-crew
835.3,8353,Other and unspecified fall in water transport injuring occupant of other watercraft -- other than crew,Wtrcraft fall NOS-pasngr
835.4,8354,Other and unspecified fall in water transport injuring water skier,W/craft fall NOS-skier
835.5,8355,Other and unspecified fall in water transport injuring swimmer,W/craft fall NOS-swim
835.6,8356,"Other and unspecified fall in water transport injuring dockers, stevedores",Wtrcraft fall NOS-docker
835.7,8357,"Other and unspecified fall in water transport, occupant of military watercraft, any type",W/crft fall NEC/NOS-mil
835.8,8358,Other and unspecified fall in water transport injuring other specified person,W/crft fall NOS-pers NEC
835.9,8359,Other and unspecified fall in water transport injuring unspecified person,W/crft fall NOS-pers NOS
836.0,8360,"Machinery accident in water transport injuring occupant of small boat, unpowered",Machine acc-unpow boat
836.1,8361,"Machinery accident in water transport injuring occupant of small boat, powered",Mach acc-occ power boat
836.2,8362,Machinery accident in water transport injuring occupant of other watercraft -- crew,Machinery accident-crew
836.3,8363,Machinery accident in water transport injuring occupant of other watercraft -- other than crew,Machinery acc-pasngr
836.4,8364,Machinery accident in water transport injuring water skier,Machine accident-skier
836.5,8365,Machinery accident in water transport injuring swimmer,Machine accident-swim
836.6,8366,"Machinery accident in water transport injuring dockers, stevedores",Machinery acc-docker
836.7,8367,"Machinery accident in water transport, occupant of military watercraft, any type",W/crft machine-military
836.8,8368,Machinery accident in water transport injuring other specified person,Machinery acc-pers NEC
836.9,8369,Machinery accident in water transport injuring unspecified person,Machinery acc-pers NOS
837.0,8370,"Explosion, fire, or burning in watercraft injuring occupant of small boat, unpowered",Explosion-occ unpow boat
837.1,8371,"Explosion, fire, or burning in watercraft injuring occupant of small boat, powered",Explosion-occ power boat
837.2,8372,"Explosion, fire, or burning in watercraft injuring occupant of other watercraft -- crew",Watercraft explos-crew
837.3,8373,"Explosion, fire, or burning in watercraft injuring occupant of other watercraft -- other than crew",Watercraft explos-pasngr
837.4,8374,"Explosion, fire, or burning in watercraft injuring water skier",Watercraft explos-skier
837.5,8375,"Explosion, fire, or burning in watercraft injuring swimmer",Watercraft explos-swim
837.6,8376,"Explosion, fire, or burning in watercraft injuring dockers, stevedores",Watercraft explos-docker
837.7,8377,"Explosion, fire, or burning in watercraft, occupant of military watercraft, any type",W/crft explosn-military
837.8,8378,"Explosion, fire, or burning in watercraft injuring other specified person",Watercraft expl-pers NEC
837.9,8379,"Explosion, fire, or burning in watercraft injuring unspecified person",Watercraft expl-pers NOS
838.0,8380,"Other and unspecified water transport accident injuring occupant of small boat, unpowered",Watercraft acc NEC-unpow
838.1,8381,"Other and unspecified water transport accident injuring occupant of small boat, powered",Watercraft acc NEC-power
838.2,8382,Other and unspecified water transport accident injuring occupant of other watercraft -- crew,Watercraft acc NEC-crew
838.3,8383,Other and unspecified water transport accident injuring occupant of other watercraft -- other than crew,Watercrft acc NEC-pasngr
838.4,8384,Other and unspecified water transport accident injuring water skier,Watercraft acc NEC-skier
838.5,8385,Other and unspecified water transport accident injuring swimmer,Watrcrft acc NEC-swimmer
838.6,8386,"Other and unspecified water transport accident injuring dockers, stevedores",Watercrft acc NEC-docker
838.7,8387,"Other and unspecified water transport accident, occupant of military watercraft, any type",W/crft-military NEC/NOS
838.8,8388,Other and unspecified water transport accident injuring other specified person,Wtrcrft acc NEC-pers NEC
838.9,8389,Other and unspecified water transport accident injuring unspecified person,Wtrcrft acc NEC-pers NOS
840.0,8400,Accident to powered aircraft at takeoff or landing injuring occupant of spacecraft,Tk off/land-spcrft
840.1,8401,"Accident to powered aircraft at takeoff or landing injuring occupant of military aircraft, any",Tk off/land-milit craft
840.2,8402,Accident to powered aircraft at takeoff or landing injuring crew of commercial aircraft (powered) in surface to surface transport,Tk off/land-crew aircrft
840.3,8403,Accident to powered aircraft at takeoff or landing injuring other occupant of commercial aircraft (powered) in surface to surface transport,Tk off/land-psng aircrft
840.4,8404,Accident to powered aircraft at takeoff or landing injuring occupant of commercial aircraft (powered) in surface to air transport,Tk off/land-comm crf NEC
840.5,8405,Accident to powered aircraft at takeoff or landing injuring occupant of other powered aircraft,Tk off/land-aircraft NEC
840.6,8406,"Accident to powered aircraft at takeoff or landing injuring occupant of unpowered aircraft, except parachutist",Tk off/land-unp aircrft
840.7,8407,Accident to powered aircraft at takeoff or landing injuring parachutist (military) (other),Tk off/land-parachutist
840.8,8408,"Accident to powered aircraft at takeoff or landing injuring ground crew, airline employee",Tk off/land-ground crew
840.9,8409,Accident to powered aircraft at takeoff or landing injuring other person,Tk off/land-pers NEC
841.0,8410,"Accident to powered aircraft, other and unspecified, injuring occupant of spacecraft",Pow aircraft acc-spcrft
841.1,8411,"Accident to powered aircraft, other and unspecified, injuring occupant of military aircraft, any",Power aircraft acc-milit
841.2,8412,"Accident to powered aircraft, other and unspecified, injuring crew of commercial aircraft (powered) in surface to surface transport",Power aircraft acc-crew
841.3,8413,"Accident to powered aircraft, other and unspecified, injuring other occupant of commercial aircraft (powered) in surface to surface transport",Power aircraft acc-psngr
841.4,8414,"Accident to powered aircraft, other and unspecified, injuring occupant of commercial aircraft (powered) in surface to air transport",Aircraf acc-occ comm NEC
841.5,8415,"Accident to powered aircraft, other and unspecified, injuring occupant of other powered aircraft",Oth powered aircraft acc
841.6,8416,"Accident to powered aircraft, other and unspecified, injuring occupant of unpowered aircraft, except parachutist",Pow airc acc-unp aircr
841.7,8417,"Accident to powered aircraft, other and unspecified, injuring parachutist (military) (other)",Aircraft acc-parachutist
841.8,8418,"Accident to powered aircraft, other and unspecified, injuring ground crew, airline employee",Aircraft acc-ground crew
841.9,8419,"Accident to powered aircraft, other and unspecified, injuring other person",Aircrft acc NOS-pers NEC
842.6,8426,"Accident to unpowered aircraft injuring occupant of unpowered aircraft, except parachutist",Unpower aircraft acc-occ
842.7,8427,Accident to unpowered aircraft injuring parachutist (military) (other),Unpow aircrf acc-chutist
842.8,8428,"Accident to unpowered aircraft injuring ground crew, airline employee",Unpow aircrf acc-gr crew
842.9,8429,Accident to unpowered aircraft injuring other person,Unpow aircrf acc-per NEC
843.0,8430,"Fall in, on, or from aircraft injuring occupant of spacecraft",Fall-occ spacecraft
843.1,8431,"Fall in, on, or from aircraft injuring occupant of military aircraft, any",Fall-milit aircraft occp
843.2,8432,"Fall in, on, or from aircraft injuring crew of commercial aircraft (powered) in surface to surface transport",Fall-crew comm aircraft
843.3,8433,"Fall in, on, or from aircraft injuring other occupant of commercial aircraft (powered) in surface to surface transport",Fall-psng comm aircraft
843.4,8434,"Fall in, on, or from aircraft injuring occupant of commercial aircraft (powered) in surface to air transport",Fall-occ comm aircrf NEC
843.5,8435,"Fall in, on, or from aircraft injuring occupant of other powered aircraft",Fall-occup oth aircraft
843.6,8436,"Fall in, on, or from aircraft injuring occupant of unpowered aircraft, except parachutist",Fall-occ unpower aircraf
843.7,8437,"Fall in, on, or from aircraft injuring parachutist (military) (other)",Fall-parachutist
843.8,8438,"Fall in, on, or from aircraft injuring ground crew, airline employee",Aircrft fall-ground crew
843.9,8439,"Fall in, on, or from aircraft injuring other person",Aircraft fall-person NEC
844.0,8440,Other specified air transport accidents injuring occupant of spacecraft,Aircrft acc NEC-spcrft
844.1,8441,"Other specified air transport accidents injuring occupant of military aircraft, any",Aircrft acc NEC-military
844.2,8442,Other specified air transport accidents injuring crew of commercial aircraft (powered) in surface to surface transport,Aircrft acc NEC-crew
844.3,8443,Other specified air transport accidents injuring other occupant of commercial aircraft (powered) in surface to surface transport,Aircrft acc NEC-pasngr
844.4,8444,Other specified air transport accidents injuring occupant of commercial aircraft (powered) in surface to air transport,Aircrft acc NEC-comm NEC
844.5,8445,Other specified air transport accidents injuring occupant of other powered aircraft,Aircrft acc NEC-occp NEC
844.6,8446,"Other specified air transport accidents injuring occupant of unpowered aircraft, except parachutist",Aircr acc NEC-unp aircr
844.7,8447,Other specified air transport accidents injuring parachutist (military) (other),Aircrft acc-parachutist
844.8,8448,"Other specified air transport accidents injuring ground crew, airline employee",Aircrft acc NEC-grd crew
844.9,8449,Other specified air transport accidents injuring other person,Aircrft acc NEC-pers NEC
845.0,8450,Accident involving spacecraft injuring occupant of spacecraft,Spacecraft acc-occupant
845.8,8458,"Accident involving spacecraft injuring ground crew, airline employee",Spacecraft acc-grnd crew
845.9,8459,Accident involving spacecraft injuring other person,Spacecraft acc-pers NEC
846.0,8460,Accidents involving powered vehicles used solely within the buildings and premises of industrial or commercial establishment,Indus veh acc on premise
847.0,8470,Accidents involving cable cars not running on rails,Cabl car acc not on rail
848.0,8480,"Accidents involving other vehicles, not elsewhere classifiable",Oth vehicle acc NEC
849.0,8490,Home accidents,Accident in home
849.1,8491,Farm accidents,Accident on farm
849.2,8492,Mine and quarry accidents,Accident in mine/quarry
849.3,8493,Accidents occurring in industrial places and premises,Acc on industr premises
849.4,8494,Accidents occurring in place for recreation and sport,Accid in recreation area
849.5,8495,Street and highway accidents,Accid on street/highway
849.6,8496,Accidents occurring in public building,Accident in public bldg
849.7,8497,Accidents occurring in residential institution,Accid in resident instit
849.8,8498,Accidents occurring in other specified places,Accident in place NEC
849.9,8499,Accidents occurring in unspecified place,Accident in place NOS
850.0,8500,Accidental poisoning by heroin,Acc poison-heroin
850.1,8501,Accidental poisoning by methadone,Acc poison-methadone
850.2,8502,Accidental poisoning by other opiates and related narcotics,Acc poison-opiates NEC
850.3,8503,Accidental poisoning by salicylates,Acc poison-salicylates
850.4,8504,"Accidental poisoning by aromatic analgesics, not elsewhere classified",Acc poison-arom analgesc
850.5,8505,Accidental poisoning by pyrazole derivatives,Acc poison-pyrazole derv
850.6,8506,Accidental poisoning by antirheumatics (antiphlogistics),Acc poison-antirheumatic
850.7,8507,Accidental poisoning by other non-narcotic analgesics,Acc poison-nonnarc analg
850.8,8508,Accidental poisoning by other specified analgesics and antipyretics,Acc poison-analgesic NEC
850.9,8509,Accidental poisoning by unspecified analgesic or antipyretic,Acc poison-analgesic NOS
851.0,8510,Accidental poisoning by barbiturates,Acc poison-barbiturates
852.0,8520,Accidental poisoning by chloral hydrate group,Acc poisn-chlorl hydrate
852.1,8521,Accidental poisoning by paraldehyde,Acc poison-paraldehyde
852.2,8522,Accidental poisoning by bromine compounds,Acc poison-bromine cmpnd
852.3,8523,Accidental poisoning by methaqualone compounds,Acc poison-methaqualone
852.4,8524,Accidental poisoning by glutethimide group,Acc poison-glutethimide
852.5,8525,"Accidental poisoning by mixed sedatives, not elsewhere classified",Acc poison-mix sedtv NEC
852.8,8528,Accidental poisoning by other specified sedatives and hypnotics,Acc poison-sedatives NEC
852.9,8529,Accidental poisoning by unspecified sedative or hypnotic,Acc poison-sedatives NOS
853.0,8530,Accidental poisoning by phenothiazine-based tranquilizers,Acc pois-phenthiaz tranq
853.1,8531,Accidental poisoning by butyrophenone-based tranquilizers,Acc pois-butyrphen tranq
853.2,8532,Accidental poisoning by benzodiazepine-based tranquilizers,Acc poisn-benzdiaz tranq
853.8,8538,Accidental poisoning by other specified tranquilizers,Acc poisn-tranquilzr NEC
853.9,8539,Accidental poisoning by unspecified tranquilizer,Acc poisn-tranquilzr NOS
854.0,8540,Accidental poisoning by antidepressants,Acc poison-antidepressnt
854.1,8541,Accidental poisoning by psychodysleptics [hallucinogens],Acc poison-hallucinogens
854.2,8542,Accidental poisoning by psychostimulants,Acc poisn-psychstimulant
854.3,8543,Accidental poisoning by central nervous system stimulants,Acc poison-cns stimulant
854.8,8548,Accidental poisoning by other psychotropic agents,Acc poisn psychotrop NEC
855.0,8550,Accidental poisoning by anticonvulsant and anti-parkinsonism drugs,Acc poisn-anticonvulsant
855.1,8551,Accidental poisoning by other central nervous system depressants,Acc poisn-cns depres NEC
855.2,8552,Accidental poisoning by local anesthetics,Acc poisn-local anesthet
855.3,8553,Accidental poisoning by parasympathomimetics [cholinergics],Acc poison-cholinergics
855.4,8554,Accidental poisoning by parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,Acc poisn-anticholinerg
855.5,8555,Accidental poisoning by sympathomimetics [adrenergics],Acc poison-adrenergics
855.6,8556,Accidental poisoning by sympatholytics [antiadrenergics],Acc poisn-sympatholytics
855.8,8558,Accidental poisoning by other specified drugs acting on central and autonomic nervous systems,Acc poison-cns drug NEC
855.9,8559,Accidental poisoning by unspecified drug acting on central and autonomic nervous systems,Acc poison-cns drug NOS
856.0,8560,Accidental poisoning by antibiotics,Acc poison-antibiotics
857.0,8570,Accidental poisoning by other anti-infectives,Acc pois-oth anti-infect
858.0,8580,Accidental poisoning by hormones and synthetic substitutes,Acc poison-hormones
858.1,8581,Accidental poisoning by primarily systemic agents,Acc poisn-systemic agent
858.2,8582,Accidental poisoning by agents primarily affecting blood constituents,Acc poison-blood agent
858.3,8583,Accidental poisoning by agents primarily affecting cardiovascular system,Acc poisn-cardiovasc agt
858.4,8584,Accidental poisoning by agents primarily affecting gastrointestinal system,Acc poison-gi agent
858.5,8585,"Accidental poisoning by water, mineral, and uric acid metabolism drugs",Acc poisn-metabol agnt
858.6,8586,Accidental poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system,Acc poisn-muscl/resp agt
858.7,8587,"Accidental poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs",Acc poisn-skin/eent agnt
858.8,8588,Accidental poisoning by other specified drugs,Acc poisoning-drug NEC
858.9,8589,Accidental poisoning by unspecified drug,Acc poisoning-drug NOS
860.0,8600,Accidental poisoning by alcoholic beverages,Acc poisn-alcohol bevrag
860.1,8601,Accidental poisoning by other and unspecified ethyl alcohol and its products,Acc poison-ethyl alcohol
860.2,8602,Accidental poisoning by methyl alcohol,Acc poisn-methyl alcohol
860.3,8603,Accidental poisoning by isopropyl alcohol,Acc poisn-isopropyl alc
860.4,8604,Accidental poisoning by fusel oil,Acc poison-fusel oil
860.8,8608,Accidental poisoning by other specified alcohols,Acc poison-alcohol NEC
860.9,8609,Accidental poisoning by unspecified alcohol,Acc poison-alcohol NOS
861.0,8610,Accidental poisoning by synthetic detergents and shampoos,Acc pois-synth detergent
861.1,8611,Accidental poisoning by soap products,Acc poison-soap products
861.2,8612,Accidental poisoning by polishes,Acc poison-polishes
861.3,8613,Accidental poisoning by other cleansing and polishing agents,Acc poison-cleanser NEC
861.4,8614,Accidental poisoning by disinfectants,Acc poison-disinfectants
861.5,8615,Accidental poisoning by lead paints,Acc poison-lead paints
861.6,8616,Accidental poisoning by other paints and varnishes,Acc poison-paints NEC
861.9,8619,"Accidental poisoning by unspecified cleansing and polishing agents, disinfectants, paints, and varnishes",Acc poison-cleanser NOS
862.0,8620,Accidental poisoning by petroleum solvents,Acc poisn-petrol solvent
862.1,8621,Accidental poisoning by petroleum fuels and cleaners,Acc poisn-petroleum fuel
862.2,8622,Accidental poisoning by lubricating oils,Acc pois-lubricating oil
862.3,8623,Accidental poisoning by petroleum solids,Acc pois-petroleum solid
862.4,8624,"Accidental poisoning by other specified solvents, not elsewhere classified",Acc poisn-solvents NEC
862.9,8629,"Accidental poisoning by unspecified solvent, not elsewhere classified",Acc poisn-solvent NOS
863.0,8630,Accidental poisoning by insecticides of organochlorine compounds,Acc pois-chlorine pestic
863.1,8631,Accidental poisoning by insecticides of organophosphorus compounds,Acc pois-phosph pesticid
863.2,8632,Accidental poisoning by carbamates,Acc poison-carbamates
863.3,8633,Accidental poisoning by mixtures of insecticides,Acc poisn-mixed pesticid
863.4,8634,Accidental poisoning by other and unspecified insecticides,Acc poison-pesticide NEC
863.5,8635,Accidental poisoning by herbicides,Acc poison-herbicides
863.6,8636,Accidental poisoning by fungicides,Acc poison-fungicides
863.7,8637,Accidental poisoning by rodenticides,Acc poison-rodenticides
863.8,8638,Accidental poisoning by fumigants,Acc poison-fumigants
863.9,8639,Accidental poisoning by other and unspecified agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,Acc pois-agrcult NEC/NOS
864.0,8640,Accidental poisoning by corrosive aromatics not elsewhere classified,Acc pois-corrosiv aromat
864.1,8641,Accidental poisoning by acids not elsewhere classified,Acc poison-acids
864.2,8642,Accidental poisoning by caustic alkalis not elsewhere classified,Acc poisn-caustic alkali
864.3,8643,Accidental poisoning by other specified corrosives and caustics not elsewhere classified,Acc poison-caustic NEC
864.4,8644,Accidental poisoning by unspecified corrosives and caustics not elsewhere classified,Acc poison-caustic NOS
865.0,8650,Accidental poisoning by meat,Acc poison-meat
865.1,8651,Accidental poisoning by shellfish,Acc poison-shellfish
865.2,8652,Accidental poisoning from other fish,Acc poison-fish NEC
865.3,8653,Accidental poisoning from berries and seeds,Acc poison-berries/seeds
865.4,8654,Accidental poisoning from other specified plants,Acc poison-plants NEC
865.5,8655,Accidental poisoning from mushrooms and other fungi,Acc poison-mushrooms
865.8,8658,Accidental poisoning from other specified foods,Acc poison-food NEC
865.9,8659,Accidental poisoning from unspecified foodstuff or poisonous plant,Acc poisn-food/plant NOS
866.0,8660,Accidental poisoning by lead and its compounds and fumes,Acc poisoning-lead
866.1,8661,Accidental poisoning by mercury and its compounds and fumes,Acc poisoning-mercury
866.2,8662,Accidental poisoning by antimony and its compounds and fumes,Acc poisoning-antimony
866.3,8663,Accidental poisoning by arsenic and its compounds and fumes,Acc poisoning-arsenic
866.4,8664,Accidental poisoning by other metals and their compounds and fumes,Acc poison-metals NEC
866.5,8665,Accidental poisoning by plant foods and fertilizers,Acc poison-plant food
866.6,8666,Accidental poisoning by glues and adhesives,Acc poison-glues
866.7,8667,Accidental poisoning by cosmetics,Acc poison-cosmetics
866.8,8668,Accidental poisoning by other specified solid or liquid substances,Acc pois-solid/liq NEC
866.9,8669,Accidental poisoning by unspecified solid or liquid substance,Acc pois-solid/liq NOS
867.0,8670,Accidental poisoning by gas distributed by pipeline,Acc poison-piped gas
868.0,8680,Accidental poisoning by liquefied petroleum gas distributed in mobile containers,Acc pois-liq petrol gas
868.1,8681,Accidental poisoning by other and unspecified utility gas,Acc pois-utl gas NEC/NOS
868.2,8682,Accidental poisoning by motor vehicle exhaust gas,Acc poison-exhaust gas
868.3,8683,Accidental poisoning by carbon monoxide from incomplete combustion of other domestic fuels,Acc pois-co/domestc fuel
868.8,8688,Accidental poisoning by carbon monoxide from other sources,Acc pois-carbn monox NEC
868.9,8689,Accidental poisoning by unspecified carbon monoxide,Acc pois-carbn monox NOS
869.0,8690,Accidental poisoning by nitrogen oxides,Acc poisn-nitrogen oxide
869.1,8691,Accidental poisoning by sulfur dioxide,Acc poisn-sulfur dioxide
869.2,8692,Accidental poisoning by freon,Acc poison-freon
869.3,8693,Accidental poisoning by lacrimogenic gas [tear gas],Acc poison-tear gas
869.4,8694,Second hand tobacco smoke,Scndhnd tbcco smoke
869.8,8698,Accidental poisoning by other specified gases and vapors,Acc poison-gas/vapor NEC
869.9,8699,Accidental poisoning by unspecified gases and vapors,Acc poison-gas/vapor NOS
870.0,8700,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",Acc cut/hem in surgery
870.1,8701,"Accidental cut, puncture, perforation or hemorrhage during infusion or transfusion",Acc cut/hem in infusion
870.2,8702,"Accidental cut, puncture, perforation or hemorrhage during kidney dialysis or other perfusion",Acc cut/hem-perfusn NEC
870.3,8703,"Accidental cut, puncture, perforation or hemorrhage during injection or vaccination",Acc cut/hem in injection
870.4,8704,"Accidental cut, puncture, perforation or hemorrhage during endoscopic examination",Acc cut/hem w scope exam
870.5,8705,"Accidental cut, puncture, perforation or hemorrhage during aspiration of fluid or tissue, puncture, and catheterization",Acc cut/hem w catheteriz
870.6,8706,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization",Acc cut/hem w heart cath
870.7,8707,"Accidental cut, puncture, perforation or hemorrhage during administration of enema",Acc cut/hem w enema
870.8,8708,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care",Acc cut in med care NEC
870.9,8709,"Accidental cut, puncture, perforation or hemorrhage during unspecified medical care",Acc cut in med care NOS
